Type,Count_of_Category,Average_Count,Type_Count,Percent_of_total
CB.FB1E0,1,6.0,4,0.8928571428571429
CB.FB1I1,4,6.0,9,1.5873015873015872
CB.FB2E0,31,6.387096774193548,4,27.678571428571427
CB.FB2E1,151,9.874172185430464,9,59.92063492063492
CB.FB2E2,87,7.367816091954023,7,44.38775510204081
CB.FB2E4,14,7.642857142857143,5,10.0
CB.FB2E5,3,5.333333333333333,4,2.6785714285714284
CB.FB2I0,25,6.72,2,44.642857142857146
CB.FB2I2,11,6.0,6,6.5476190476190474
CB.FB5I1,2,5.0,3,2.380952380952381
CB.FB5I2,2,5.5,3,2.380952380952381
CB.FB5I3,15,8.866666666666667,1,53.57142857142857
CB.FB6D2,44,11.431818181818182,2,78.57142857142857
CB.FB6E3,3,5.0,7,1.530612244897959
CB.FB6E5,8,5.875,2,14.285714285714286
CB.FB7D0,42,7.785714285714286,10,15.0
CB.FB7E1,4,5.75,6,2.380952380952381
CB2217,1,5.0,5,0.7142857142857143
FB1H,2,5.5,2,3.5714285714285716
"FB4A,FB4D,FB4E,FB4F,FB4G,FB4H,FB4I,FB4J",2,5.0,36,0.1984126984126984
FB4N,46,14.73913043478261,2,82.14285714285714
FB4O,10,5.7,8,4.464285714285714
"FB4P,FB4Q,FB4R",1,5.0,11,0.3246753246753247
FB4P_a,7,6.571428571428571,5,5.0
FB4Q_b,4,6.0,4,3.5714285714285716
FB4X,42,22.404761904761905,2,75.0
"FB4Z,FB5U,FB5R",1,5.0,12,0.2976190476190476
FB5A,112,25.116071428571427,4,100.0
FB5AB,54,20.185185185185187,2,96.42857142857143
FB5B,11,6.181818181818182,5,7.857142857142857
"FB5C,FB5F,FB5G,FB5P,FB5Q",50,9.58,24,7.440476190476191
"FB5D,FB5E",1,5.0,2,1.7857142857142858
FB5I,28,9.928571428571429,2,50.0
"FB5J,FB5K,FB5L,FB5M,FB5N,FB5W",32,8.75,18,6.349206349206349
FB5O,38,9.526315789473685,3,45.23809523809524
FB5Y,59,7.864406779661017,4,52.67857142857143
FB6E,28,17.75,2,50.0
FB6F,10,6.4,2,17.857142857142858
FB6O,2,6.5,2,3.5714285714285716
FB6R,11,6.2727272727272725,4,9.821428571428571
FB6V,33,7.454545454545454,2,58.92857142857143
FB6W,79,11.860759493670885,4,70.53571428571429
FB6Z,1,5.0,2,1.7857142857142858
FB7L,1,5.0,5,0.7142857142857143
"FB8A,FB8H",1,5.0,17,0.21008403361344538
FC3,2,5.0,40,0.17857142857142858
LAL076,18,7.333333333333333,2,32.142857142857146
PFGs,1,11.0,24,0.1488095238095238
"PFNm,PFNp",63,6.619047619047619,321,0.7009345794392523
PFR,3,5.333333333333333,30,0.35714285714285715
hDeltaC,125,18.288,21,21.258503401360546
hDeltaE,2,7.0,8,0.8928571428571429
hDeltaF,18,10.277777777777779,8,8.035714285714286
hDeltaG,63,32.73015873015873,8,28.125
hDeltaH,61,42.22950819672131,8,27.232142857142858
hDeltaJ,113,15.557522123893806,30,13.452380952380953
hDeltaK,1,7.0,31,0.1152073732718894
hDeltaL,35,19.314285714285713,12,10.416666666666666
hDeltaM,37,18.027027027027028,8,16.517857142857142
"vDeltaA,vDeltaB,vDeltaC,vDeltaD,vDeltaE,vDeltaJ,vDeltaK,vDeltaL,vDeltaM",63,7.365079365079365,315,0.7142857142857143
"vDeltaF,vDeltaG,vDeltaH,vDeltaI",103,9.048543689320388,74,4.971042471042471
