Type,Count_of_Category,Average_Count,Type_Count,Percent_of_total
CB.FB2E0,10,6.8,4,15.625
CB.FB2E1,111,12.207207207207206,9,77.08333333333333
CB.FB2E2,39,7.717948717948718,7,34.82142857142857
CB.FB2E3,56,9.392857142857142,6,58.333333333333336
CB.FB2E4,29,13.620689655172415,5,36.25
CB.FB2E5,53,10.679245283018869,4,82.8125
CB.FB2E6,38,6.368421052631579,5,47.5
CB.FB2I0,1,6.0,2,3.125
CB.FB2I2,29,7.655172413793103,6,30.208333333333332
CB.FB5I2,1,5.0,3,2.0833333333333335
CB.FB5I3,16,14.25,1,100.0
CB1128,6,7.333333333333333,3,12.5
FB1H,7,6.142857142857143,2,21.875
"FB4A,FB4D,FB4E,FB4F,FB4G,FB4H,FB4I,FB4J",23,6.739130434782608,36,3.9930555555555554
FB4K,33,9.757575757575758,4,51.5625
FB4M,2,5.5,4,3.125
FB4N,32,17.125,2,100.0
FB4O,28,6.964285714285714,8,21.875
"FB4P,FB4Q,FB4R",19,6.0,11,10.795454545454545
FB4P_a,3,6.0,5,3.75
FB4Q_b,27,7.518518518518518,4,42.1875
FB4X,28,9.785714285714286,2,87.5
"FB4Z,FB5U,FB5R",5,6.0,12,2.6041666666666665
FB5A,64,28.640625,4,100.0
FB5AB,19,9.052631578947368,2,59.375
"FB5D,FB5E",23,8.695652173913043,2,71.875
FB5H,1,5.0,2,3.125
"FB5J,FB5K,FB5L,FB5M,FB5N,FB5W",38,13.157894736842104,18,13.194444444444445
FB5O,35,10.771428571428572,3,72.91666666666667
FB5X,12,5.916666666666667,6,12.5
FB6O,3,6.666666666666667,2,9.375
cM11,3,6.333333333333333,2,9.375
hDeltaH,24,17.291666666666668,8,18.75
hDeltaJ,111,22.792792792792792,30,23.125
hDeltaM,27,17.555555555555557,8,21.09375
mALD1,14,8.428571428571429,2,43.75
"vDeltaF,vDeltaG,vDeltaH,vDeltaI",153,12.117647058823529,74,12.922297297297296
